t	e	n	u	dpe	dpn	dpu
2016.153300	-0.352418	-0.334825	0.480037	0.000851	0.000759	0.003233
2016.156100	-0.352832	-0.333815	0.485591	0.000818	0.000725	0.003066
2016.158800	-0.351758	-0.338712	0.481692	0.000828	0.000748	0.003227
2016.161500	-0.350671	-0.336704	0.483368	0.000832	0.000758	0.003309
2016.164300	-0.352241	-0.334805	0.475795	0.000834	0.000745	0.003172
2016.167000	-0.350884	-0.338822	0.480939	0.000833	0.000738	0.003141
2016.169700	-0.353094	-0.337514	0.480419	0.000830	0.000745	0.003209
2016.172500	-0.353886	-0.335634	0.482457	0.000847	0.000739	0.003072
2016.175200	-0.351943	-0.336287	0.482735	0.000831	0.000753	0.003196
2016.178000	-0.353052	-0.335087	0.471350	0.000828	0.000743	0.003140
2016.180700	-0.352778	-0.337525	0.466777	0.000827	0.000766	0.003246
2016.183400	-0.353151	-0.336811	0.474531	0.000841	0.000766	0.003240
2016.186200	-0.354336	-0.336039	0.469418	0.000818	0.000721	0.003114
